datetime,sigai,bucket,index
2024-01-30 14:13:00,0.01013873,08:10 - 16:10,1215
2024-01-30 14:14:00,0.01013323,08:10 - 16:10,1215
2024-01-30 14:15:00,0.01012323,08:10 - 16:10,1215
2024-01-30 14:16:00,0.01013173,08:10 - 16:10,1215
2024-01-30 14:17:00,0.01013223,08:10 - 16:10,1215
2024-01-30 14:18:00,0.0101114,08:10 - 16:10,1215
2024-01-30 14:19:00,0.0101179,08:10 - 16:10,1215
2024-01-30 14:20:00,0.01012073,08:10 - 16:10,1215
2024-01-30 14:21:00,0.0101104,08:10 - 16:10,1215
2024-01-30 14:22:00,0.0100959,08:10 - 16:10,1215
2024-01-30 14:23:00,0.0100889,08:10 - 16:10,1215
2024-01-30 14:24:00,0.01006723,08:10 - 16:10,1215
2024-01-30 14:25:00,0.01007206,08:10 - 16:10,1215
2024-01-30 14:26:00,0.01008156,08:10 - 16:10,1215
2024-01-30 14:27:00,0.01007823,08:10 - 16:10,1215
2024-01-30 14:28:00,0.0100594,08:10 - 16:10,1215
2024-01-30 14:29:00,0.01004323,08:10 - 16:10,1215
2024-01-30 14:30:00,0.01004073,08:10 - 16:10,1215
2024-01-30 14:31:00,0.0100374,08:10 - 16:10,1215
2024-01-30 14:32:00,0.01003006,08:10 - 16:10,1215
2024-01-30 14:33:00,0.0100594,08:10 - 16:10,1215
2024-01-30 14:34:00,0.01007556,08:10 - 16:10,1215
2024-01-30 14:35:00,0.01003323,08:10 - 16:10,1215
2024-01-30 14:36:00,0.0100479,08:10 - 16:10,1215
2024-01-30 14:37:00,0.01001973,08:10 - 16:10,1215
2024-01-30 14:38:00,0.0099969,08:10 - 16:10,1215
2024-01-30 14:39:00,0.01000023,08:10 - 16:10,1215
2024-01-30 14:40:00,0.01000056,08:10 - 16:10,1215
2024-01-30 14:41:00,0.00998723,08:10 - 16:10,1215
2024-01-30 14:42:00,0.00995956,08:10 - 16:10,1215
2024-01-30 14:43:00,0.00995106,08:10 - 16:10,1215
2024-01-30 14:44:00,0.0099464,08:10 - 16:10,1215
2024-01-30 14:45:00,0.00992823,08:10 - 16:10,1215
2024-01-30 14:46:00,0.00990556,08:10 - 16:10,1215
2024-01-30 14:47:00,0.00990123,08:10 - 16:10,1215
2024-01-30 14:48:00,0.0098774,08:10 - 16:10,1215
2024-01-30 14:49:00,0.00987123,08:10 - 16:10,1215
2024-01-30 14:50:00,0.00985473,08:10 - 16:10,1215
2024-01-30 14:51:00,0.00983673,08:10 - 16:10,1215
